name,rating,review_time,variant,comment,like_count
F***r,5,Lebih dari 1 tahun lalu,,"Original, pengiriman pakai cargo yang bebas ongkir masih aman karena dilapisi Bubble wrap. Sudah dicoba berfungsi dengan baik. Seller fast response, malam order langsung...",1
Michael,5,Lebih dari 1 tahun lalu,,"TV nya keren banget, suaranya juga mantep. Pengiriman nya aman pakai Kargo AnterAja.",1
Salma,5,Lebih dari 1 tahun lalu,,"Barang aman sewaktu sampai meskipun hanya packing kardus saja, tidak ada reject, tv juga lancar jalannya. 

Gambar jernih, suara cukup besar meskipun tingkat volume yang...",8
Lasti,5,Lebih dari 1 tahun lalu,,"Pengiriman 2x24 jam
packing bubble wrap, 


kualitas okee... 
mantappp xiaomi mantappp tokped",0
Luky,5,Lebih dari 1 tahun lalu,,"pesanan sampai tujuan dengan selamat... 
barang original, pengiriman cepat",5
A***d,5,Lebih dari 1 tahun lalu,,"Terimakasih sampe dengan selamat mudah2an TVnya awet, kurirnya juga baik banget untuk anternya. Terimakasih xiaomi store",1
Coleboy,5,Lebih dari 1 tahun lalu,,"Hoki banget dapat flash sale 11.11 di harga 11rb, ongkir 130rb lewat anter aja. Kirain di kirim pakai kargo, tapi malah pakai kurir biasa. TV di terima dgn keadaan baik,m...",20
Choirul,5,Lebih dari 1 tahun lalu,,"Affordable, intuitif, cepet. Mungkin kedepannya bisa dengan lebih dari 60hz",4
A***a,5,Lebih dari 1 tahun lalu,,"TV nya bagus langsung berfungsi, pelayanannya terbaik gercep banget, mantab 👍",0
I***y,5,6 bulan lalu,Varian: A 32 Pro,"sesuai pesann aman smpai disini 
semoga awet lah ya",1
Lukman,5,4 minggu lalu,Varian: NEW! TV A 32 Pro 2026,sampai dengan selamat n aman. reapon cepat. bismillah bisa awet,0
Nur,5,9 bulan lalu,Varian: A 32 Pro,"Bagus, produk aman, pengiriman cepat, semoga awet",0
Gilang,5,4 bulan lalu,,mantap sesuai pesanan. proses pengiriman jg cepat,0
Hyura,5,Lebih dari 1 tahun lalu,,mantapp pengiriman aman dan selamat sampai tujuan,2
a***l,5,Lebih dari 1 tahun lalu,,keren sekali tv nya terima kasih xiaomi indonesia,2
w***i,5,Lebih dari 1 tahun lalu,,"mantap. 
barang di kirim sampai rumah dengan aman",1
Dimasfariznugroho,5,Lebih dari 1 tahun lalu,,"seller responsif, pengiriman cepat, packing aman",1
Agung,5,Lebih dari 1 tahun lalu,,barangbya bagus sekali dan berfungsi dengan baik,0
Victor,5,Lebih dari 1 tahun lalu,,"barang bagus, pengiriman cepat, pelayanan ramah.",1
R***a,5,Lebih dari 1 tahun lalu,,"mantap barang nya, Spek nya sesuai yang Dateng , tidak ada kendala dan kerusakan",2
Rio,5,11 bulan lalu,,"Barangnya bagus, sesuai, mudah disetting, layar jernih dan bagus, warna mantap, semoga awet.",2
Muhamad,5,Lebih dari 1 tahun lalu,,barang original dan berfungsi dengan baik packing nya juga rapih dan aman terimakasih,2
d***m,5,11 bulan lalu,,bagus. untuk harga sejutaan sudah melebihi ekspektasi. semua fitur berfungsi dengan baik. tv nya lancar di gunakan gak lemot,4
A***A,5,5 bulan lalu,,"barang bagus, pengiriman aman, dan cepat sampai",0
s***h,1,Lebih dari 1 tahun lalu,,"kecewaa berat pertama kali beli tv Xiaomi dapat beberapa hari pakai tiba tiba layarnya bergelombang gitu, pas datang ke service center garansi hangus alias udah void dan...",5
Ahmad,5,Lebih dari 1 tahun lalu,,"barang bagus, pengiriman cepat, pengemasan aman",0
Yayan,5,10 bulan lalu,Varian: A 32 Pro,barang original pengiriman cepat garansi resmi,1
F***n,5,Lebih dari 1 tahun lalu,,"barang datang dengan aman, mantap, semoga awet",1
j***s,5,9 bulan lalu,Varian: A 32 Pro,"barang original xiaomi, multimedia. paket rapi",0
L***u,5,2 bulan lalu,Varian: NEW! TV A 32 Pro 2026,Warna lebih bagus dari merek lain yang seharga,1
eni,5,Lebih dari 1 tahun lalu,,original pengiriman cepet recomended pokoknya,0
Lucky,5,5 bulan lalu,,TV nya bagus datang dengan aman sampe tujuan,1
T***i,5,Lebih dari 1 tahun lalu,,"barangnya bagus dan ok,  pengirimana cepat,,",0
Ilham,5,9 bulan lalu,Varian: A 32 Pro,Alhamdulillah berfungsi semuanya dan bagusss,2
rian,5,8 bulan lalu,Varian: A 32 Pro,barang berfungsi baik sangat bagus sekali ya,2
H***n,5,Lebih dari 1 tahun lalu,,"terimakasih seller, terimakasih Tokopedia.",0
Yuda,5,Lebih dari 1 tahun lalu,,"barang berfungsi dgn baik, semoga awet deh",0
Aurelie,5,2 minggu lalu,Varian: NEW! TV A 32 Pro 2026,barang sampai dengan selamat tv nya kereen,2
